,entity_id,state,created
0,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 23:37:30.720157
1,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 23:37:30.719230
2,sensor.0x00158d00066941c9_illuminance_lux,23,2021-11-26 23:37:30.716258
6,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-26 23:36:37.253983
7,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 23:36:37.252925
8,sensor.bedroom_entrance_illuminance_lux,0,2021-11-26 23:36:37.251273
9,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 23:36:00.713953
10,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 23:36:00.712960
11,sensor.0x00158d00066941c9_illuminance_lux,23,2021-11-26 23:36:00.712206
12,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-26 23:36:00.710498
17,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 23:16:36.497811
18,sensor.bedroom_entrance_illuminance_lux,0,2021-11-26 23:16:36.496107
20,device_tracker.chris_phone,home,2021-11-26 23:11:41.328265
22,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 23:10:31.844549
23,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 23:10:31.843497
24,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-26 23:10:31.840552
26,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 23:09:01.832535
27,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 23:09:01.830880
28,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-26 23:09:01.829445
29,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-26 23:09:01.826196
34,device_tracker.chris_phone,home,2021-11-26 22:57:30.089474
37,weather.home,cloudy,2021-11-26 22:49:40.693802
42,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 22:12:53.836770
43,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-26 22:12:53.835947
44,sensor.0x00158d00066941c9_illuminance_lux,64,2021-11-26 22:12:53.834123
46,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 22:12:15.504637
47,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-26 22:12:15.503775
48,sensor.0x00158d0001e4ad46_illuminance_lux,103,2021-11-26 22:12:15.502568
54,device_tracker.chris_phone,home,2021-11-26 21:59:26.878418
56,device_tracker.chris_phone,home,2021-11-26 21:58:44.873395
59,device_tracker.chris_phone,home,2021-11-26 21:56:41.797154
61,device_tracker.chris_phone,home,2021-11-26 21:53:38.981942
62,weather.home,cloudy,2021-11-26 21:50:40.641160
64,device_tracker.chris_phone,home,2021-11-26 21:49:57.892292
66,device_tracker.chris_phone,home,2021-11-26 21:47:14.865005
68,device_tracker.chris_phone,home,2021-11-26 21:46:32.278317
70,device_tracker.chris_phone,home,2021-11-26 21:41:41.424283
72,device_tracker.chris_phone,home,2021-11-26 21:38:27.095944
75,device_tracker.chris_phone,home,2021-11-26 21:32:02.383186
76,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 21:28:17.210089
77,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 21:28:17.209134
78,sensor.0x00158d00066941c9_illuminance_lux,64,2021-11-26 21:28:17.207114
93,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 21:26:56.891765
94,binary_sensor.0x00158d0001e4ad46_occupancy,on,2021-11-26 21:26:56.890484
95,sensor.0x00158d0001e4ad46_illuminance_lux,103,2021-11-26 21:26:56.888447
96,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 21:26:47.196853
97,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 21:26:47.195576
98,sensor.0x00158d00066941c9_illuminance_lux,64,2021-11-26 21:26:47.194288
99,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-26 21:26:47.189821
101,binary_sensor.0x00158d0001e4ad46_occupancy,on,2021-11-26 21:25:26.881947
102,sensor.0x00158d0001e4ad46_illuminance_lux,103,2021-11-26 21:25:26.880694
103,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-26 21:25:26.878867
104,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 21:25:24.851919
105,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 21:25:24.850543
106,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-26 21:25:24.847917
